ID_Equipo,Nombre_Equipo,Division,Provincia,Liga
1,Aldosivi,Liga Profesional,,
42,All Boys,Primera Nacional,,
46,Almagro,Primera Nacional,,
2,Argentinos Juniors,Liga Profesional,,
32,Arsenal,Primera B Metropolitana,,
38,Atletico Rafaela,Primera Nacional,,
3,Atletico Tucuman,Liga Profesional,,
4,Banfield,Liga Profesional,,
5,Barracas Central,Liga Profesional,,
6,Belgrano,Liga Profesional,,
7,Boca Juniors,Liga Profesional,,
9,Central Cordoba SdE,Liga Profesional,,
35,Chacarita Juniors,Primera Nacional,,
31,Colon,Primera Nacional,,
40,Crucero del Norte,Torneo Regional Federal Amateur,Misiones,
10,Defensa y Justicia,Liga Profesional,,
11,Deportivo Riestra,Liga Profesional,,
12,Estudiantes LP,Liga Profesional,,
43,Gimnasia de Jujuy,Primera Nacional,,
13,Gimnasia LP,Liga Profesional,,
14,Godoy Cruz,Primera Nacional,,
8,Huracan,Liga Profesional,,
45,Huracan de Tres Arroyos,Torneo Regional Federal Amateur,Buenos Aires,
16,Independiente,Liga Profesional,,
15,Independiente Rivadavia,Liga Profesional,,
17,Instituto,Liga Profesional,,
18,Lanus,Liga Profesional,,
19,Newells,Liga Profesional,,
41,Nueva Chicago,Primera Nacional,,
36,Olimpo,Federal A,,
33,Patronato,Primera Nacional,,
20,Platense,Liga Profesional,,
39,Quilmes,Primera Nacional,,
21,Racing Club,Liga Profesional,,
22,River Plate,Liga Profesional,,
23,Rosario Central,Liga Profesional,,
24,San Lorenzo,Liga Profesional,,
47,San Martin de Mendoza,Federal A,,
25,San Martin SJ,Primera Nacional,,
34,San Martin Tucuman,Primera Nacional,,
26,Sarmiento,Liga Profesional,,
27,Talleres,Liga Profesional,,
37,Temperley,Primera Nacional,,
28,Tigre,Liga Profesional,,
44,Tiro Federal,Ligas Regionales,Santa Fe,Liga Rosarina de Futbol
29,Union,Liga Profesional,,
30,Velez Sarsfield,Liga Profesional,,
48,Gimnasia de Concepción del Uruguay,Federal A,,
49,Los Andes,Primera Nacional,,
50,Ferro Carril Oeste,Primera Nacional,,
51,Gimnasia y Tiro,Primera Nacional,,
52,Deportivo Español,Primera C,,
53,Huracán Corrientes,Ligas Regionales,Corrientes,Liga Correntina de Futbol
54,Deportivo Mandiyú,Torneo Regional Federal Amateur,Corrientes,
55,Chaco For Ever,Primera Nacional,,
56,Racing de Córdoba,Primera Nacional,,
57,Deportivo Armenio,Primera B Metropolitana,,
58,Sportivo Italiano,Primera B Metropolitana,,
59,Santamarina,Federal A,,
60,Estudiantes RC,Liga Profesional,,
61,Altos Hornos Zapla,Torneo Regional Federal Amateur,Jujuy,
62,Guarani Antonio Franco,Torneo Regional Federal Amateur,Misiones,
63,Cipolletti,Federal A,,
64,Huracan Las Heras,Federal A,,
65,Circulo Deportivo,Federal A,,
66,Central Norte,Primera Nacional,,
67,Argentino de Firmat,Ligas Regionales,Santa Fe,Liga Deportiva del Sur
68,Juventud Alianza,Torneo Regional Federal Amateur,San Juan,
69,Juventud Antoniana,Federal A,,
70,Ferro Carril Oeste (GP),Torneo Regional Federal Amateur,La Pampa,
71,Gimnasia de Mendoza,Liga Profesional,,
72,Union de General Pinedo,Ligas Regionales,Chaco,Liga del Sudoeste
73,Atletico Uruguay,Ligas Regionales,Entre Rios,Liga de Futbol de Concepcion del Uruguay
74,Kimberley,Federal A,,
75,Atletico Ledesma,Ligas Regionales,Jujuy,Liga Regional Jujeña de Futbol
76,Atlanta,Primera Nacional,,
77,Union San Vicente,Ligas Regionales,Cordoba,Liga Cordobesa de Futbol
78,Atletico Santa Rosa,Torneo Regional Federal Amateur,La Pampa,
79,Renato Cesarini,Ligas Regionales,Santa Fe,Liga Rosarina de Futbol
80,Atletico Concepcion,Ligas Regionales,Tucuman,Liga Tucumana de Futbol
81,Loma Negra,Ligas Regionales,Buenos Aires,Liga de Olavarria
82,Andino,Ligas Regionales,La Rioja,Liga Riojana de Futbol
83,Mariano Moreno,Ligas Regionales,Buenos Aires,Liga Deportiva del Oeste
84,Estudiantes de Santiago del Estero,Ligas Regionales,Santiago del Estero,Liga Santiagueña de Futbol
85,San Lorenzo de Mar del Plata,Ligas Regionales,Buenos Aires,Liga Marplatense de Futbol
86,Deportivo General Roca,Ligas Regionales,Rio Negro,Liga Deportiva Confluencia
87,Huracan de San Rafael,Ligas Regionales,Mendoza,Liga Sanrafaelina de Futbol
88,Juventud Unida Universitario,Federal A,,
89,Alvarado,Federal A,,
90,Estudiantes de Caseros,Primera Nacional,,
91,Los Andes de San Juan,Extinto,,
92,Sarmiento de Resistencia,Federal A,,
93,San Telmo,Primera Nacional,,
94,Sportivo Patria,Ligas Regionales,Formosa,Liga Formoseña de Futbol
95,Huracan de Comodoro Rivadavia,Torneo Regional Federal Amateur,Chubut,
96,Jorge Newbery de Junin,Ligas Regionales,Buenos Aires,Liga Deportiva del Oeste
97,Bartolome Mitre,Federal A,,
98,Desamparados,Ligas Regionales,San Juan,Liga Sanjuanina de Futbol
99,Puerto Comercial,Ligas Regionales,Buenos Aires,Liga del Sur
100,Atletico Regina,Ligas Regionales,Rio Negro,Liga Deportiva Confluencia
101,Independiente de Trelew,Torneo Regional Federal Amateur,Chubut,
