ID_Partido,ID_Temporada,Numero_Fecha,Fase,Fecha,Fecha_Numerica,Local_ID,Visitante_ID,Goles_Local,Goles_Visitante,Tipo_Definicion,ID_Ganador,Estadio,Goleadores,Amonestados,Expulsados,Penales,Nota,Jugadores,DT,ARBITRO
,,,,,,,,,,,,,,,,,,,,
1,1,1,Fase Regular,23/1/2025,45680,14,23,0,3,0,23,Estadio Víctor Antonio Legrotaglie,/ 18´ Enzo Copetti [ARG] - 26´ Ignacio Malcorra [ARG] - 48´ Jáminton Campaz [COL],Bruno Leyes [ARG] - Mateo Mendoza [ARG] - Roberto Fernández [URU] / Agustí­n Sández [ARG] - Gaspar Duarte [ARG],,,"Godoy Cruz hizo de local en el Estadio de Gimnasia y Esgrima de Mendoza, por resembrado en el Malvinas Argentinas y obras de remodelación en el Feliciano Gambarte",(1) Franco Petroli (ARQ) [ARG] - (3) Juan Segundo Morán (DEF) [ARG] - (4) Lucas Arce (DEF) [ARG] - (6) Leandro Quiroz (DEF) [ARG] - (11) Daniel Barrea (MED) [ARG] - (17) Matías Gonzalez (MED) [ARG] - (22) Martín Pino (DEL) [ARG] - (25) Vicente Poggi (MED) [URU] - (26) Mateo Mendoza (DEF) [ARG] - (32) Gonzalo Abrego (MED) [ARG] - (50) Juan Perez (MED) [ARG] - (5) Bruno Leyes (SUP) [ARG] - (13) Roberto Fernández (SUP) [URU] - (20) Kevin Parzajuk (SUP) [PAR] - (30) Facundo Ardiles (SUP) [ARG] - (41) Facundo Altamira (SUP) [ARG] / (1) Jorge Broun (ARQ) [ARG] - (2) Carlos Quintana (DEF) [ARG] - (3) Agustín Sández (DEF) [ARG] - (5) Franco Ibarra (MED) [ARG] - (9) Enzo Copetti (DEL) [ARG] - (10) Ignacio Malcorra (MED) [ARG] - (15) Facundo Mallo (DEF) [URU] - (27) Gaspar Duarte (MED) [ARG] - (30) Tomas O'Connor (MED) [ARG] - (32) Emanuel Coronel (DEF) [ARG] - (99) Jáminton Campaz (MED) [COL] - (6) Juan Cruz Komar (SUP) [ARG] - (7) Maximiliano Lovera (SUP) [ARG] - (22) Lautaro Giaccone (SUP) [ARG] - (29) Luca Martínez Dupuy (SUP) [MEX] - (45) Kevin Ortíz (SUP) [ARG],Ernesto Pedernera [ARG] / Ariel Holan [ARG],Pablo Echavarría [ARG]
2,1,1,Fase Regular,23/1/2025,45680,28,30,3,0,0,28,Estadio José Dellagiovanna,3´ Ignacio Russo [ARG] - 9´ Ignacio Russo [ARG] - 47´ Martín Ortega [ARG],Nahuel Banegas [ARG] - Lorenzo Scipioni [ARG] - Sebastián Luciano Medina [ARG] / Agustín Bouzat [ARG],,,,(2) Joaquín Laso (DEF) [ARG] - (3) Nahuel Banegas (DEF) [ARG] - (4) Martín Ortega (DEF) [ARG] - (8) Martín Garay (MED) [ARG] - (12) Felipe Zenobio (ARQ) [ARG] - (16) Lorenzo Scipioni (MED) [ARG] - (21) Sebastián Luciano Medina (MED) [ARG] - (22) Julián López (MED) [ARG] - (29) Ignacio Russo (DEL) [ARG] - (30) Nehuén Paz (DEF) [ARG] - (33) Elias Cabrera (MED) [ARG] - (6) Diego Sosa (SUP) [ARG] - (10) Lucas Besozzi (SUP) [ARG] - (20) Héctor Fértoli (SUP) [ARG] - (27) Santiago González (SUP) [ARG] - (77) Maximiliano Zalazar (SUP) [ARG] / (1) Tomás Marchiori (ARQ) [ARG] - (2) Emanuel Mammana (DEF) [ARG] - (3) Elías Gómez (DEF) [ARG] - (4) Joaquín García (DEF) [ARG] - (7) Michael Santos (DEL) [URU] - (9) Braian Romero (DEL) [ARG] - (11) Matías Pellegrini (MED) [ARG] - (20) Francisco Pizzini (MED) [ARG] - (26) Agustín Bouzat (MED) [ARG] - (32) Christian Ordoñez (MED) [ARG] - (34) Damián Fernández (DEF) [ARG] - (10) Álvaro Montoro (SUP) [ARG] - (22) Mateo Pellegrino (SUP) [ARG] - (39) Imanol Machuca (SUP) [ARG] - (43) Isaias Andrada (SUP) [ARG] - (46) Maximiliano Porcel (SUP) [ARG],Diego Dabove [ARG] / Sebastián Domínguez [ARG],Andres Gariano [ARG]
3,1,1,Fase Regular,23/1/2025,45680,10,4,0,1,0,4,Estadio Norberto Tomaghello,/ Tomás Nasif [ARG],,,,,(3) Alexis Soto (DEF) [ARG] - (5) Kevin Gutiérrez (MED) [ARG] - (6) Lucas Ferreira (DEF) [URU] - (8) César Pérez (MED) [CHI] - (9) Juan Bautista Miritello (DEL) [ARG] - (10) Aaron Molinas (MED) [ARG] - (14) Ezequiel Cannavo (DEF) [ARG] - (20) Lucas González (MED) [ARG] - (25) Enrique Bologna (ARQ) [ARG] - (28) Emanuel Aguilera (DEF) [ARG] - (37) Matías Ramírez (MED) [ARG] - (7) Abiel Osorio (SUP) [ARG] - (11) Gastón Togni (SUP) [ARG] - (27) Luciano Herrera (SUP) [ARG] - (33) Nicolás Palavecino (SUP) [ARG] / (1) Facundo Sanguinetti (ARQ) [ARG] - (2) Alexis Maldonado (DEF) [ARG] - (4) Ramiro Di Luciano (DEF) [ARG] - (5) Martin Rio (MED) [ARG] - (6) Joaquin Pombo (DEF) [ARG] - (11) Agustín Alaniz (MED) [URU] - (15) Mathías De Ritis (DEF) [URU] - (17) Juan Francisco Bisanz (DEL) [ARG] - (20) Tomás Adoryan (MED) [ARM] - (30) Tomás Nasif (DEL) [ARG] - (32) Agustín Obando (MED) [ARG] - (7) Geronimo Rivera (SUP) [ARG] - (8) Lautaro Ríos (SUP) [ARG] - (24) Santiago López Garcia (SUP) [ARG] - (29) Juan Martín Iribarren (SUP) [ARG] - (33) Ignacio Abraham (SUP) [ARG],Pablo De Muner [ARG] / Ariel Broggi [ARG],Pablo Dóvalo [ARG]
4,1,1,Fase Regular,23/1/2025,45680,18,11,0,2,0,11,Estadio Ciudad de Lanús,/ Jonathan Herrera [ARG] - Gabriel Obredor [ARG],Ramiro Carrera [ARG] - Agustín Cardozo [ARG] / Pedro Ramírez [ARG],,,,(2) Ezequiel Muñoz (DEF) [ARG] - (6) Sasha Marcich (DEF) [ARG] - (9) Walter Bou (DEL) [ARG] - (10) Marcelino Moreno (MED) [ARG] - (11) Eduardo Salvio (MED) [ARG] - (22) Juan José Cáceres (DEF) [PAR] - (23) Ramiro Carrera (MED) [ARG] - (24) Carlos Izquierdoz (DEF) [ARG] - (26) Nahuel Losada (ARQ) [ARG] - (30) Agustín Cardozo (MED) [ARG] - (32) Franco Orozco (MED) [ARG] - (5) Felipe Peña Biafore (SUP) [ARG] - (7) Lautaro Acosta (SUP) [ARG] - (8) Luciano Boggio (SUP) [URU] - (35) Ronaldo Dejesús (SUP) [PAR] - (36) Alexis Segovia (SUP) [ARG] / (1) Ignacio Arce (ARQ) [ARG] - (3) Nicolás Caro Torres (DEF) [ARG] - (5) Pedro Ramirez (DEF) [ARG] - (8) Milton Céliz (MED) [ARG] - (9) Jonathan Herrera (DEL) [ARG] - (14) Pablo Monje (MED) [ARG] - (15) Nicolás Sansotre (DEF) [ARG] - (22) Cristian Paz (DEF) [ARG] - (28) Rodrigo Sayavedra (DEF) [ARG] - (32) Nicolás Benegas (DEL) [ARG] - (35) Brian Sánchez (MED) [ARG] - (20) Alexander Díaz (SUP) [ARG] - (24) Facundo Miño (SUP) [ARG] - (37) Mario Sanabria (SUP) [ARG] - (40) Gabriel Obredor (SUP) [ARG],Mauricio Pellegrino [ARG] / Cristian Fabbiani [ARG],Andres Merlos [ARG]
5,1,1,Fase Regular,23/1/2025,45680,19,15,0,1,0,15,Estadio Marcelo Bielsa,/ Mauro Peinipil [ARG],Francisco González [ARG] - Luca Regiardo [ARG] - Luciano Lollo [ARG] - Éver Banega [ARG] / Maximiliano Amarfil [ARG] - Luciano Gómez [ARG] - Iván Villalba [PAR],,,,(3) Luca Sosa (DEF) [ARG] - (5) Éver Banega (MED) [ARG] - (6) Saúl Salcedo (DEF) [PAR] - (7) Fernando Cardozo (MED) [PAR] - (20) Gonzalo Maroni (DEL) [ARG] - (22) Francisco González (DEL) [ARG] - (24) Mateo Silvetti (DEL) [ARG] - (25) Alejo Tabares (MED) [ARG] - (27) Luca Regiardo (MED) [ARG] - (30) Josué Reinatti (ARQ) [ARG] - (37) Luciano Lollo (DEF) [ARG] - (9) Juan Manuel García (SUP) [ARG] - (28) Fabricio Tirado (SUP) [ARG] - (38) Giovani Chiaverano (SUP) [ARG] - (39) Nazareno Funez (SUP) [ARG] - (48) Pablo Altamirano (SUP) [ARG] / (1) Ezequiel Centurión (ARQ) [ARG] - (4) Mauro Peinipil (DEF) [ARG] - (7) Victorio Ramis (DEL) [ARG] - (8) Luis Sequeira (DEL) [ARG] - (11) Diego Tonetto (MED) [ARG] - (14) Luciano Gómez (DEF) [ARG] - (21) Mauricio Cardillo (MED) [ARG] - (22) Sebastián Villa (DEL) [COL] - (25) Maximiliano Amarfil (MED) [ARG] - (40) Iván Villalba (DEF) [PAR] - (42) Sheyko Studer (DEF) [ARG] - (2) Leonard Costa (SUP) [URU] - (5) Tomás Bottari (SUP) [ARG] - (10) Gonzalo Rios (SUP) [ARG] - (20) Juan Ignacio Barbieri (SUP) [ARG] - (24) Thomas Ortega (SUP) [ARG],Mariano Soso [ARG] / Alfredo Berti [ARG],Silvio Trucco [ARG]
6,1,1,Fase Regular,24/1/2025,45681,5,21,1,3,0,21,Estadio Julio Humberto Grondona,21´ Facundo Bruera [ARG] / 30´ Luciano Vietto [ARG] - 74´ Adrián Martínez [ARG] - 92´ Adrián Balboa [URU],48´ Rafael Barrios [ARG] / 91´ Adrián Martínez [ARG],,,,(2) Nicolás Capraro (DEF) [ARG] - (5) Dardo Miloc (MED) [ARG] - (6) Rodrigo Insúa (MED) [ARG] - (7) Facundo Bruera (DEL) [ARG] - (8) Sirio Cabral (MED) [ARG] - (10) Nahuel Barrios (DEL) [ARG] - (13) Rafael Barrios (MED) [ARG] - (23) Iván Tapia (DEL) [ARG] - (28) Marcos Ledesma (ARQ) [ARG] - (31) Nicolás Demartini (DEF) [ARG] - (32) Fernando Tobio (DEF) [ARG] - (9) Gonzalo Morales (SUP) [ARG] - (11) Javier Ruiz (SUP) [ARG] - (19) Tomás Porra (SUP) [ARG] - (24) Manuel Duarte (SUP) [ARG] - (33) Facundo Mater (SUP) [ARG] / (2) Agustín García Basso (DEF) [ARG] - (3) Marco Di Cesare (DEF) [ARG] - (5) Juan Ignacio Nardoni (MED) [ARG] - (7) Maximiliano Salas (DEL) [ARG] - (9) Adrián Martínez (DEL) [ARG] - (10) Luciano Vietto (DEL) [ARG] - (13) Santiago Sosa (DEF) [ARG] - (15) Gastón Martirena (MED) [URU] - (19) Ignacio Agustin Rodríguez (MED) [ARG] - (21) Gabriel Arias (ARQ) [CHI] - (32) Agustín Almendra (MED) [ARG] - (11) Matías Zaracho (SUP) [ARG] - (16) Martín Barrios (SUP) [URU] - (23) Nazareno Colombo (SUP) [ARG] - (35) Santiago Quirós (SUP) [ARG] - (77) Adrián Balboa (SUP) [URU],Rubén Darío Insúa [ARG] / Gustavo Costas [ARG],Fernando Echenique [ARG]
7,1,1,Fase Regular,24/1/2025,45681,16,26,2,1,0,16,Estadio Libertadores de América,15´ Gabriel Ávalos (P) [PAR] - 48´ Gabriel Ávalos [PAR] / 77´ Pablo Magnín (P) [ARG],71´ Luciano Cabral [CHI] / 34´ Tomas Guiacobini [ARG] - 39´ Renzo Orihuela [URU] - 50´ Joaquín Gho [ARG] - 65´ Manuel García [ARG] - 88´ Federico Paradela [ARG],,,,(3) Adrián Sporle (DEF) [ARG] - (4) Federico Vera (DEF) [ARG] - (5) Felipe Loyola (MED) [CHI] - (7) Santiago Montiel (DEL) [ARG] - (9) Gabriel Ávalos (DEL) [PAR] - (14) Lautaro Millán (MED) [ARG] - (23) Iván Marcone (MED) [ARG] - (26) Kevin Lomónaco (DEF) [ARG] - (27) Diego Tarzia (DEL) [ARG] - (33) Rodrigo Rey (ARQ) [ARG] - (36) Sebastián Valdez (DEF) [ARG] - (8) Pablo Galdames (SUP) [CHI] - (10) Luciano Cabral (SUP) [CHI] - (34) Matías Giménez Rojas (SUP) [ARG] - (77) Álvaro Angulo (SUP) [COL] / (2) Juan Manuel Insaurralde (DEF) [ARG] - (5) Manuel Garcia (MED) [ARG] - (10) Gabriel Carabajal (MED) [ARG] - (15) Leandro Suhr (MED) [URU] - (18) Iván Morales (DEL) [CHI] - (21) Alex Vigo (DEF) [ARG] - (26) Yair Arismendi (DEF) [ARG] - (28) Joaquin Gho (MED) [ARG] - (31) Tomas Guiacobini (MED) [ARG] - (42) Lucas Acosta (ARQ) [ARG] - (44) Renzo Orihuela (DEF) [URU] - (7) Pablo Magnín (SUP) [ARG] - (8) Federico Paradela (SUP) [ARG] - (20) Franco Frías (SUP) [ARG] - (22) Valentín Burgoa (SUP) [ARG] - (33) Gabriel Díaz (SUP) [ARG],Julio Vaccari [ARG] / Javier Sanguinetti [ARG],Sebastián Martinez [ARG]
8,1,1,Fase Regular,24/1/2025,45681,6,8,1,1,0,,Estadio Julio Cesar Villagra,34´ Daniel Zabala (EC) [ARG] / 38´ Walter Mazzantti [ARG],18´ Nicolás Meriano [ARG] - 40´ Juan Martín Velázquez [ARG] - 86´ Juan Ángel Espínola [PAR] - 88´ Mariano Troilo [ARG] / 69´ Leonel Pérez [ARG],,,,(2) Aníbal Leguizamón (DEF) [ARG] - (7) Bryan Reyna (DEL) [PER] - (8) Gabriel Compagnucci (DEF) [ARG] - (10) Lucas Zelarayán (MED) [ARM] - (11) Francisco González Metilli (MED) [ARG] - (13) Nicolás Meriano (DEF) [ARG] - (15) Lucas Menossi (MED) [ARG] - (19) Facundo Quignón (MED) [ARG] - (25) Juan Ángel Espínola (ARQ) [PAR] - (29) Franco Jara (DEL) [ARG] - (53) Juan Martín Velázquez (DEF) [ARG] - (9) Lucas Passerini (SUP) [ARG] - (12) Ulises Sánchez (SUP) [ARG] - (22) Nicolás Fernández (SUP) [ARG] - (34) Gerónimo Heredia (SUP) [ARG] - (37) Mariano Troilo (SUP) [ARG] / (1) Hernán Galíndez (ARQ) [ECU] - (5) Leonel Pérez (MED) [ARG] - (6) Fabio Pereyra (DEF) [ARG] - (8) Leonardo Gil (MED) [ARG] - (10) Walter Mazzantti (MED) [ARG] - (17) Gabriel Alanís (MED) [ARG] - (21) Franco Watson (MED) [ARG] - (22) Daniel Zabala (DEF) [ARG] - (24) Tomás Guidara (DEF) [ARG] - (25) Cesar Ibañez (DEF) [ARG] - (43) Eric Ramírez (DEL) [ARG] - (7) Matías Tissera (SUP) [ARG] - (11) Agustín Urzi (SUP) [ARG] - (16) Rodrigo Cabral (SUP) [ARG] - (20) Pedro Ojeda (SUP) [ARG] - (31) Marco Pellegrino (SUP) [ARG],Walter Erviti [ARG] / Frank Kudelka [ARG],Luis Lobo Medina [ARG]
9,1,1,Fase Regular,24/1/2025,45681,25,3,0,1,0,3,Estadio Ingeniero Hilario Sánchez,/ 10´ Mateo Coronel [ARG],20´ Luciano Recalde [ARG] - 60´ Rodrigo Cáseres [ARG] / 76´ Damián Martínez [ARG] - 94´ Juan Infante [ARG],,,,(1) Matías Borgogno (ARQ) [ARG] - (2) Rodrigo Cáseres (DEF) [ARG] - (3) Leonel Álvarez (DEF) [ARG] - (4) Alejandro Molina (DEF) [ARG] - (5) Nicolás Pelaitay (MED) [ARG] - (6) Luciano Recalde (DEF) [ARG] - (7) Maximiliano Casa (MED) [ARG] - (9) Federico González (DEL) [ARG] - (10) Sebastián González (DEL) [ARG] - (11) Ezequiel Montagna (MED) [ARG] - (23) Gino Olguín (MED) [ARG] - (8) Horacio Tijanovich (SUP) [ARG] - (19) Tomás Escalante (SUP) [ARG] - (27) Tomás Fernández (SUP) [ARG] - (32) Federico Anselmo (SUP) [ARG] - (37) Jonathan Menéndez (SUP) [ARG] / (3) Matías de los Santos (DEF) [URU] - (5) Adrián Sánchez (MED) [ARG] - (6) Gianluca Ferrari (DEF) [ARG] - (8) Guillermo Acosta (MED) [ARG] - (9) Mateo Bajamich (MED) [ARG] - (16) Moisés Brandán (DEF) [ARG] - (18) Renzo Tesuri (MED) [ARG] - (19) Marcelo Estigarribia (DEL) [ARG] - (25) Tomás Durso (ARQ) [ARG] - (32) Juan Infante (DEF) [ARG] - (37) Mateo Coronel (DEL) [ARG] - (4) Damián Martínez (SUP) [ARG] - (10) Franco Albanell (SUP) [ARG] - (22) Ramiro Ruiz Rodriguez (SUP) [ARG] - (33) Miguel Brizuela (SUP) [ARG] - (41) Rodrigo Melo (SUP) [ARG],Raúl Antuña [ARG] / Facundo Sava [ARG],Bryan Ferreyra [ARG]
