ID_Temporada,Pos,Equipo,Promedio,PJ,Pts,PtsU,PtsU1,PtsU2
2,1,River Plate,1.824,114,208,53,70,85
2,2,Boca Juniors,1.675,114,191,62,67,62
2,3,Racing Club,1.605,114,183,52,70,60
2,4,Rosario Central,1.561,114,178,66,47,65
2,5,Talleres,1.517,114,173,34,72,67
2,6,Argentinos Juniors,1.464,114,167,57,56,54
2,7,Estudiantes LP,1.464,114,167,42,63,62
2,8,Lanus,1.456,114,166,50,59,57
2,9,Velez Sarsfield,1.447,114,165,40,76,49
2,10,Independiente,1.412,114,161,47,63,51
2,11,San Lorenzo,1.403,114,160,51,45,64
2,12,Huracan,1.403,114,160,47,62,51
2,13,Deportivo Riestra,1.369,73,100,52,48,0
2,14,Godoy Cruz,1.368,114,156,29,64,63
2,15,Defensa y Justicia,1.350,114,154,38,58,58
2,16,Barracas Central,1.289,114,147,49,49,49
2,17,Platense,1.280,114,146,35,57,54
2,18,Union,1.271,114,145,39,60,46
2,19,Belgrano,1.254,114,143,37,49,57
2,20,Instituto,1.219,114,139,34,53,52
2,21,Independiente Rivadavia,1.219,73,89,43,46,0
2,22,Atletico Tucuman,1.210,114,138,34,50,54
2,23,Tigre,1.184,114,135,49,39,47
2,24,Newells,1.184,114,135,33,49,53
2,25,Central Cordoba SdE,1.157,114,132,42,42,48
2,26,Gimnasia LP,1.149,114,131,38,48,45
2,27,Banfield,1.131,114,129,35,41,53
2,28,Aldosivi,1.031,32,33,33,0,0
2,29,Sarmiento,1.017,114,116,35,35,46
2,30,San Martin SJ (R),0.875,32,28,28,0,0
